Date,Open,High,Low,Close,AdjustedC,Volume
2018-05-31,36.720001,36.980000,35.500000,35.750000,35.750000,1354590
2018-06-01,36.720001,36.980000,35.500000,35.750000,35.750000,1354590
2018-06-04,36.099998,36.570000,35.419998,35.470001,35.470001,744969
2018-06-05,35.549999,35.779999,34.630001,34.779999,34.779999,619305
2018-06-06,35.180000,35.849998,34.770000,35.360001,35.360001,1167794
2018-06-07,35.900002,36.529999,35.840000,36.389999,36.389999,765026
2018-06-08,36.000000,36.270000,35.500000,36.099998,36.099998,750090
2018-06-11,36.630001,37.060001,36.259998,36.980000,36.980000,864878
2018-06-12,37.009998,37.270000,36.720001,36.750000,36.750000,695695
2018-06-13,36.910000,37.230000,36.240002,36.380001,36.380001,840628
2018-06-14,36.270000,36.580002,36.150002,36.290001,36.290001,578585
2018-06-15,36.060001,36.410000,35.610001,36.180000,36.180000,2707933
2018-06-18,35.889999,36.250000,35.340000,35.470001,35.470001,593967
2018-06-19,35.200001,35.459999,34.830002,35.099998,35.099998,676900
2018-06-20,34.990002,35.900002,34.970001,35.259998,35.259998,614396
2018-06-21,35.119999,35.680000,34.910000,35.060001,35.060001,617071
2018-06-22,35.610001,35.770000,34.799999,35.160000,35.160000,584726
2018-06-25,35.180000,35.259998,34.700001,34.990002,34.990002,664293
2018-06-26,35.090000,35.400002,34.650002,34.860001,34.860001,629420
2018-06-27,35.029999,35.580002,34.139999,35.090000,35.090000,725777
2018-06-28,35.000000,35.750000,34.939999,35.750000,35.750000,665781
2018-06-29,36.000000,36.169998,35.540001,35.750000,35.750000,897474
2018-07-02,35.490002,35.869999,35.220001,35.349998,35.349998,484298
2018-07-03,35.740002,35.770000,34.590000,34.590000,34.590000,636665
2018-07-04,34.570000,35.320000,34.500000,35.240002,35.240002,453672
2018-07-05,35.500000,35.840000,35.049999,35.049999,35.049999,679657
2018-07-06,35.029999,35.080002,34.619999,34.860001,34.860001,571068
2018-07-09,35.220001,35.220001,34.759998,35.119999,35.119999,440001
2018-07-10,35.230000,35.580002,35.080002,35.209999,35.209999,432594
2018-07-11,34.700001,35.099998,34.349998,34.349998,34.349998,832281
2018-07-12,34.520000,34.759998,34.360001,34.430000,34.430000,572179
2018-07-13,34.360001,35.080002,34.250000,34.799999,34.799999,572247
2018-07-16,34.730000,35.220001,34.730000,35.070000,35.070000,270186
2018-07-17,35.110001,35.110001,34.320000,34.320000,34.320000,542936
2018-07-18,34.450001,34.840000,34.189999,34.650002,34.650002,524346
2018-07-19,34.360001,34.730000,34.279999,34.490002,34.490002,520257
2018-07-20,34.299999,34.980000,33.810001,34.860001,34.860001,651124
2018-07-23,34.799999,35.070000,34.610001,35.000000,35.000000,436431
2018-07-24,35.310001,36.320000,35.189999,35.939999,35.939999,921524
2018-07-25,36.189999,36.560001,36.000000,36.380001,36.380001,655591
2018-07-26,36.500000,36.660000,36.169998,36.500000,36.500000,593189
2018-07-27,36.590000,36.750000,36.169998,36.619999,36.619999,424265
2018-07-30,36.169998,36.540001,36.090000,36.450001,36.450001,260463
2018-07-31,37.200001,37.200001,36.459999,36.959999,36.959999,971485
2018-08-01,37.150002,37.450001,36.959999,37.139999,37.139999,561822
2018-08-02,36.980000,37.099998,36.439999,36.680000,36.680000,674540
2018-08-03,36.540001,37.250000,36.340000,36.590000,36.590000,563873
2018-08-06,37.009998,37.130001,36.639999,37.060001,37.060001,436732
2018-08-07,37.480000,37.500000,37.049999,37.430000,37.430000,541789
2018-08-08,37.570000,37.639999,36.990002,37.230000,37.230000,460640
2018-08-09,37.200001,37.200001,36.450001,36.639999,36.639999,599434
2018-08-10,36.000000,36.189999,34.959999,35.799999,35.799999,950992
2018-08-13,35.509998,35.849998,35.090000,35.450001,35.450001,576464
2018-08-14,35.459999,35.779999,34.830002,35.259998,35.259998,649589
2018-08-16,34.849998,34.970001,34.419998,34.419998,34.419998,808169
2018-08-17,34.330002,34.700001,34.139999,34.570000,34.570000,684168
2018-08-20,34.520000,34.910000,34.279999,34.279999,34.279999,314384
2018-08-21,34.209999,35.180000,34.209999,34.939999,34.939999,458248
2018-08-22,34.689999,35.180000,34.689999,34.840000,34.840000,393018
2018-08-23,34.889999,35.090000,34.700001,34.849998,34.849998,318252
2018-08-24,34.630001,35.009998,34.540001,34.750000,34.750000,401938
2018-08-27,34.750000,35.080002,34.650002,34.889999,34.889999,245981
2018-08-28,34.849998,35.169998,34.619999,35.169998,35.169998,423519
2018-08-29,35.380001,35.459999,34.910000,35.349998,35.349998,466488
2018-08-30,35.349998,35.380001,34.650002,34.860001,34.860001,498482
2018-08-31,34.810001,34.900002,34.270000,34.270000,34.270000,689254
2018-09-03,34.599998,34.830002,34.349998,34.650002,34.650002,246194
2018-09-04,34.930000,35.110001,34.540001,34.770000,34.770000,675639
2018-09-05,34.400002,35.450001,34.320000,35.450001,35.450001,982181
2018-09-06,35.250000,35.369999,34.650002,34.660000,34.660000,530123
2018-09-07,34.799999,35.169998,34.500000,35.169998,35.169998,663175
2018-09-10,35.080002,35.560001,34.900002,35.560001,35.560001,494980
2018-09-11,35.770000,35.799999,35.259998,35.520000,35.520000,657608
2018-09-12,35.680000,36.080002,35.340000,36.080002,36.080002,720923
2018-09-13,35.820000,36.330002,35.770000,36.099998,36.099998,637835
2018-09-14,36.340000,36.880001,35.950001,36.650002,36.650002,757671
2018-09-17,36.740002,37.160000,36.529999,37.000000,37.000000,610672
2018-09-18,37.130001,37.349998,36.849998,37.320000,37.320000,773609
2018-09-19,37.450001,37.980000,37.160000,37.759998,37.759998,927347
2018-09-20,37.889999,38.270000,37.299999,37.369999,37.369999,1003270
2018-09-21,37.660000,37.770000,36.299999,36.669998,36.669998,2004167
2018-09-24,36.900002,36.939999,36.389999,36.520000,36.520000,647464
2018-09-25,36.549999,37.279999,36.540001,37.180000,37.180000,725917
2018-09-26,37.020000,37.380001,36.400002,36.709999,36.709999,489859
2018-09-27,36.410000,36.950001,36.270000,36.919998,36.919998,439863
2018-09-28,36.849998,36.970001,35.160000,35.779999,35.779999,1178500
2018-10-01,35.720001,36.389999,35.389999,35.520000,35.520000,637053
2018-10-02,35.259998,35.919998,35.029999,35.580002,35.580002,623981
2018-10-03,35.959999,36.290001,35.750000,35.750000,35.750000,542055
2018-10-04,36.049999,36.860001,35.880001,36.740002,36.740002,865534
2018-10-05,36.779999,36.779999,35.799999,36.200001,36.200001,798541
2018-10-08,36.459999,36.470001,35.700001,36.230000,36.230000,525295
2018-10-09,36.290001,36.419998,35.709999,36.090000,36.090000,601266
2018-10-10,35.709999,36.340000,35.509998,35.810001,35.810001,541340
2018-10-11,35.150002,36.090000,35.150002,35.900002,35.900002,826977
2018-10-12,36.060001,36.320000,35.709999,35.840000,35.840000,642436
2018-10-15,35.799999,36.520000,35.630001,36.340000,36.340000,597371
2018-10-16,36.490002,37.090000,36.320000,37.040001,37.040001,920409
2018-10-17,37.189999,37.189999,36.669998,36.820000,36.820000,532190
2018-10-18,36.990002,37.290001,36.680000,36.680000,36.680000,713145
2018-10-19,36.630001,36.779999,35.849998,36.240002,36.240002,864093
